jal	UJ1101111
jalr	I1100111000
bgeu	SB1100011111
bltu	SB1100011110
bge	SB1100011101
blt	SB1100011100
bne	SB1100011001	
beq	SB1100011000
sraw	R01110111010100000
srlw	R01110111010000000
sllw	R01110110010000000
subw	R01110110000100000
addw	R01110110000000000
lui	U0110111
and	R01100111110000000
or	R01100111100000000
sra	R01100111010100000
srl	R01100111010000000
xor	R01100111000000000
sltu	R01100110110000000
lb I0000011000
lh I0000011001
lw I0000011010
ld I0000011011
lbu I0000011100
lhu I0000011101
lwu I0000011110
addi I0010011000
slli I00100110010000000
slti I0010011010
sltiu I0010011011
xori I0010011100
srli I00100111010000000
srai I00100111010100000
ori I0010011110
andi I0010011111
auipc U0010111
addiw I0011011000
slliw I00110110010000000
srliw I00110111010000000
sraiw I00110111010100000
sb S0100011000
sw S0100011010
sd I0100011011
add R01100110000000000
sub R01100110000100000
sll R01100110010000000
slt R01100110100000000
mul R01100110000000001
mulh R01100110010000001
mulhsu R01100110100000001
mulhu R01100110110000001
div R01100111000000001
divu R01100111010000001
rem R01100111100000001
remu R01100111110000001
mulw R01110110000000001
divw R01110111000000001
divuw R01110111011010000001
remu R01110111100000001
remuw R01110111110000001



